datetime,gmx,gmvx,upper,lower,position
2014-05-30,-1.3804168430120114,-1.9913484644101334,2.5341020532970817,-3.1297105734255353,0.0
2014-06-06,-1.0297004061417092,-2.4926024025204674,2.534105702059579,-3.1300966134226385,0.0
2014-06-13,-0.5155990511487907,-3.0905407613579157,2.534988795332306,-3.1222253447668917,0.0
2014-06-20,-0.48857262437588006,-3.1036356776620773,2.5350346560216663,-3.109485437966694,0.0
2014-06-27,-0.41368551708729795,-2.9760283758302357,2.535858569760654,-3.0980942367315105,0.0
2014-07-04,-0.25809755178063243,-2.9266901799522604,2.5368739922125583,-3.0829565374812056,0.0
2014-07-11,-0.28515394327940613,-3.057285542459302,2.5364970407375047,-3.0643991518756346,0.0
2014-07-18,0.14356550592676515,-3.3928327843474655,2.5405729304836218,-3.0471605887348883,0.0
2014-07-25,0.5073112375624977,-3.146363588340212,2.549096428193696,-3.0306855618549022,0.0
2014-08-01,0.8965126161927914,-2.517965514788825,2.564381634035678,-3.0206953611983334,0.0
2014-08-08,1.413154154047103,-1.8351033485112895,2.588464735323179,-3.020743296897804,0.0
2014-08-15,1.8090402978281357,-1.227232366152132,2.620669169260554,-3.0258123828894434,0.0
2014-08-22,2.3833158190566026,-1.5434243736836186,2.6681374709953882,-3.0385830743118154,0.0
2014-08-29,2.786146518820556,-1.8786197803891742,2.728540442059093,-3.0547583254207833,0.0
2014-09-05,3.2027266109096413,-1.9596282306385178,2.80090799219134,-3.0682824498543133,0.0
2014-09-12,3.401886807978964,-2.021052405660943,2.874224112799906,-3.0724926881306924,0.0
2014-09-19,3.2451511993035806,-1.5019007035923728,2.937683493513515,-3.0662861018631995,0.0
2014-09-26,3.1761555905606667,-1.4798693066578856,2.9957031910940235,-3.0542762483085286,0.0
2014-10-03,3.054660727873286,-1.658652541954521,3.049665566742425,-3.04153966481926,0.0
2014-10-10,2.9832421131117712,-1.7553586091092024,3.101579765534008,-3.029713073289229,0.0
2014-10-17,3.106510319368806,-1.7970088843490761,3.1521429380791215,-3.0109795942137954,0.0
2014-10-24,2.906754439675143,-1.533275814144336,3.1908169676962705,-2.979349512684977,0.0
2014-10-31,2.571560707575493,-1.179465905112564,3.2162363973123544,-2.937094937316149,0.0
2014-11-07,2.333045587774402,-0.6321872544024734,3.2309119809976066,-2.885008152210041,0.0
2014-11-14,2.4522498213957973,0.10924044940373756,3.254530049838574,-2.845746425249369,1.0
2014-11-21,2.796339787097845,0.5135686063343656,3.294555166171592,-2.826523660145365,1.0
2014-11-28,3.738070509135282,1.3860831748516347,3.365947976669069,-2.830314915946397,0.0
2014-12-05,5.334047556007258,3.0393318455365907,3.502958290210685,-2.883137413917417,0.0
2014-12-12,6.849081990432839,3.904321990878999,3.710679765270266,-2.9840841755083116,0.0
2014-12-19,8.306476507937385,5.347836589648631,3.9896242674640185,-3.1315402814245368,0.0
2014-12-26,9.714474899200441,6.152557328443443,4.338329130380805,-3.3261626262616906,0.0
2015-01-02,10.448052863962584,7.523205902309905,4.708339921392974,-3.5292647894650964,0.0
2015-01-09,10.970901680078837,8.494258765441401,5.085350311551968,-3.730622905889317,0.0
2015-01-16,10.877292507246153,9.843960368233132,5.43077899777642,-3.9003853866939413,0.0
2015-01-23,10.085212092053501,11.01034682221056,5.709432109789684,-4.012036179664846,0.0
2015-01-30,8.552794953279427,11.831456042186142,5.901363578696472,-4.059001234526834,0.0
2015-02-06,6.96890564083569,12.728343149543306,6.027244549604448,-4.06661284226687,0.0
2015-02-13,5.664964970216218,13.209631734507349,6.111737874475234,-4.057682385248424,1.0
2015-02-20,5.15385175125941,13.37509046312607,6.184111394826545,-4.0544031707175625,1.0
2015-02-27,5.510368814711196,13.170672210960976,6.265753691456026,-4.064158625051651,1.0
2015-03-06,5.675543066867644,13.292129367981993,6.3500269799912195,-4.0803667203709635,1.0
2015-03-13,5.911548717206282,13.455377816448577,6.438824395386311,-4.101941802953812,1.0
2015-03-20,6.018320508983022,13.714717008874526,6.5292196054814085,-4.124156126736601,1.0
2015-03-27,6.055143473596777,14.032046268131168,6.61992248298711,-4.143590491785887,1.0
2015-04-03,6.744944900359393,14.237516760627223,6.731053846892067,-4.168514293509142,0.0
2015-04-10,7.468473649609381,14.462242397690371,6.863270325383632,-4.196465507893152,0.0
2015-04-17,8.336670581470024,14.099337711279087,7.0225720616477645,-4.2358262423516475,0.0
2015-04-24,9.166310671827375,13.707943037601934,7.210510242291885,-4.294170571520347,0.0
2015-05-01,9.475317935672418,14.212850830746849,7.406943117768507,-4.362080065142078,0.0
2015-05-08,9.380443766877374,14.859961485227036,7.594783189593942,-4.430445716776456,0.0
2015-05-15,8.813253146767607,14.877644352252574,7.75602300115847,-4.4835331295117005,0.0
2015-05-22,8.508563471528262,14.882887331871975,7.90280224702645,-4.525422243595729,0.0
2015-05-29,7.792111950113548,14.640517826594339,8.022975410605088,-4.5456793377261775,1.0
2015-06-05,7.738843026451782,13.808758172583023,8.138812893320642,-4.559081226671925,1.0
2015-06-12,7.896403512158218,13.347540702125237,8.256637188408998,-4.569747360648289,1.0
2015-06-19,7.176453087395857,13.296534255818683,8.35083031722219,-4.564484946790824,1.0
2015-06-26,6.857078245484608,13.708411621905313,8.435322111365293,-4.5560757731836325,1.0
2015-07-03,5.624831243576715,15.203464722045062,8.489821759617346,-4.534492395941079,1.0
2015-07-10,4.554030855269977,16.78663800254812,8.523345158095784,-4.505041539780606,1.0
2015-07-17,4.238995320599821,17.390068339527975,8.55149686604246,-4.47513811430148,1.0
2015-07-24,4.1027865507348755,17.140922796558048,8.576261889689482,-4.440389560380888,1.0
2015-07-31,4.501140459175326,15.906162800606564,8.604872598648058,-4.399960046729804,1.0
2015-08-07,4.665732426447701,14.317132915609625,8.634259626373508,-4.355763060721991,1.0
2015-08-14,4.707969076486991,13.396510214556878,8.661414537791769,-4.305047548609192,1.0
2015-08-21,4.235704406981096,13.330614751014414,8.681319221168557,-4.254808260105832,1.0
2015-08-28,3.737248617523129,13.596615167503087,8.695115112372507,-4.207293350896105,1.0
2015-09-04,3.2563926913475347,14.38471510326685,8.70370561352055,-4.1624201353488886,1.0
2015-09-11,2.529146659104873,15.320226301335957,8.704910426917232,-4.118567726564276,1.0
2015-09-18,2.1780027344349393,15.964431237180996,8.702373569160372,-4.073617796069705,1.0
2015-09-25,1.907076306880355,16.362069463726534,8.697593782073316,-4.029147728126869,1.0
2015-10-02,1.468030960543783,16.2498337063965,8.689754693259214,-3.9855609616134187,1.0
2015-10-09,1.4936387914965006,15.794111194601914,8.68434252757814,-3.9483495061536775,1.0
2015-10-16,1.8172562111505424,14.828549589591193,8.680580735349182,-3.910025289148986,1.0
2015-10-23,2.2497872248974917,13.87276800666579,8.680524971196684,-3.873517207842738,1.0
2015-10-30,2.8461336107845274,13.062226531595448,8.685992445153405,-3.8388358189944944,1.0
2015-11-06,3.3386141384821926,12.451544408030289,8.695985008021697,-3.803304403411125,1.0
2015-11-13,3.377347801268378,12.651514937666938,8.70521485623275,-3.7644874252069878,1.0
2015-11-20,3.286808404407317,12.964839084334171,8.709162688769663,-3.713958115528819,1.0
2015-11-27,3.1463991659242385,13.287953570520063,8.70892563852766,-3.657638666096308,1.0
2015-12-04,2.783646468951145,13.651872995729907,8.697387493784944,-3.585642226543644,1.0
2015-12-11,2.5970783112309315,13.840881126979625,8.683235241616199,-3.5129758995113076,1.0
2015-12-18,2.558309191595181,14.044478118554194,8.674584041408867,-3.4534380039053056,1.0
2015-12-25,2.8209186181634873,14.064909748791383,8.67090788942991,-3.4004116757375917,1.0
2016-01-01,2.974461746004253,14.150539575620686,8.675569669895797,-3.367829010854863,1.0
2016-01-08,2.9648742955245213,14.16654734072637,8.682428518985574,-3.349071757230769,1.0
2016-01-15,2.4901636283295994,14.685207650197194,8.685981614854729,-3.3391843636200176,1.0
2016-01-22,1.6563574473915035,15.605349235329026,8.684174290190859,-3.3445120310081164,1.0
2016-01-29,0.9224310507751821,16.357837091092215,8.681275238060245,-3.3600358125759686,1.0
2016-02-05,0.5880642777664653,16.661005846401125,8.678911806772438,-3.3803082216144897,1.0
2016-02-19,0.8327217726700031,16.17778942043629,8.672698735601971,-3.4003010086441283,1.0
2016-02-26,1.2027511944728573,15.546546097075275,8.666651873677587,-3.414921524621342,1.0
2016-03-04,1.9820939099974615,14.586919545622536,8.65807087348862,-3.423269214583378,1.0
2016-03-11,2.3436892334634827,14.187704512145324,8.6487693350958,-3.4292492564604755,1.0
2016-03-18,2.55244298160972,14.1356782751944,8.644655773648996,-3.432295150472332,1.0
2016-03-25,2.9683380389901,13.786979613519604,8.644323679601932,-3.432492165661824,1.0
